"Street Address","Suburb","State","Postcode","Property Type","Bed","Bath","Car","Land Size (m²)","Floor Size (m²)","Year Built","Sale Price","Sale Date","Sale Type","Agency","Land Use","Development Zone","Parcel Details","Owner Type","Open in RPData"
"6 CRESSWELL CRESCENT ","MITCHAM","VIC","3132","House","4","2","2","613","233","2011","$1,780,000","22 Feb 2024","-","Noel Jones Box Hill","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","33/LP26187","Owner Occupied","https://rpp.corelogic.com.au/property/6-cresswell-crescent-mitcham-vic-3132/11849177"
"MCKEON ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","248","-","-","$800,000","22 Feb 2024","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","5/SP26450","Owner Occupied","https://rpp.corelogic.com.au/property/mckeon-road-mitcham-vic-3132/34387156"
"28 MCKEON ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","248","98","1977","$800,000","22 Feb 2024","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","2/SP26450","Rented","https://rpp.corelogic.com.au/property/28-mckeon-road-mitcham-vic-3132/11854046"
"2/756 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","144","98","-","$565,000","21 Feb 2024","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","2/RP3956","Rented","https://rpp.corelogic.com.au/property/2-756-whitehorse-road-mitcham-vic-3132/11861098"
"CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","-","1,007","72","1970","$635,000","20 Feb 2024","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","15/RP19287","Owner Occupied","https://rpp.corelogic.com.au/property/creek-road-mitcham-vic-3132/34965305"
"6/6-10 CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","84","80","1965","$635,000","20 Feb 2024","-","ADVANTAGE PROPERTY CONSULTING - MELBOURNE","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","6/RP19287","Rented","https://rpp.corelogic.com.au/property/6-6-10-creek-road-mitcham-vic-3132/11848918"
"12/21 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","1","137","132","2013","$820,000","20 Feb 2024","-","Barry Plant - Blackburn","OYO Unit","Neighbourhood Residential Zone - Schedule 4","13/PS648889","Owner Occupied","https://rpp.corelogic.com.au/property/12-21-doncaster-east-road-mitcham-vic-3132/16733285"
"38 DEAKIN STREET ","MITCHAM","VIC","3132","House: Standard","3","3","2","550","251","2020","$2,250,000","19 Feb 2024","-","Noel Jones Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","1/LP17592","Owner Occupied","https://rpp.corelogic.com.au/property/38-deakin-street-mitcham-vic-3132/11849584"
"1 BERRY AVENUE ","MITCHAM","VIC","3132","House: Standard","3","1","1","597","150","1965","$1,230,000","17 Feb 2024","-","Jellis Craig Doncaster","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","41/LP41887","Owner Occupied","https://rpp.corelogic.com.au/property/1-berry-avenue-mitcham-vic-3132/11846943"
"12 BLOSSOM STREET ","MITCHAM","VIC","3132","House: Standard","4","3","1","750","210","1960","$1,560,000","17 Feb 2024","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/LP67209","Owner Occupied","https://rpp.corelogic.com.au/property/12-blossom-street-mitcham-vic-3132/11846986"
"3 MOORAKYNE PLACE ","MITCHAM","VIC","3132","House","3","2","4","531","242","2016","$2,056,000","17 Feb 2024","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","2/PS337262","Owner Occupied","https://rpp.corelogic.com.au/property/3-moorakyne-place-mitcham-vic-3132/11855203"
"2/702 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","319","143","2005","$1,090,000","17 Feb 2024","-","OBrien Real Estate Vermont","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","2/PS710305","Owner Occupied","https://rpp.corelogic.com.au/property/2-702-whitehorse-road-mitcham-vic-3132/16636548"
"1/125 BRUNSWICK ROAD ","MITCHAM","VIC","3132","Unit: Standard","4","2","2","366","111","2019","$1,360,000","14 Feb 2024","-","Woodards Blackburn","OYO Unit","Neighbourhood Residential Zone - Schedule 3","1/PS723226","Owner Occupied","https://rpp.corelogic.com.au/property/1-125-brunswick-road-mitcham-vic-3132/37349271"
"2/467 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","1","189","-","2017","$775,000","13 Feb 2024","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 1","2/PS734087","Owner Occupied","https://rpp.corelogic.com.au/property/2-467-mitcham-road-mitcham-vic-3132/17187727"
"2A HODGSON STREET ","MITCHAM","VIC","3132","House","3","2","2","624","144","1970","$537,325","12 Feb 2024","-","-","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","3/LP116543","Owner Occupied","https://rpp.corelogic.com.au/property/2a-hodgson-street-mitcham-vic-3132/11852555"
"44 BARKLY TERRACE ","MITCHAM","VIC","3132","Other","4","-","-","388","-","-","$0","10 Feb 2024","Nils And Wills","-","-","General Residential Zone - Schedule 2","LOTS 1 & 3 SP23144","-","https://rpp.corelogic.com.au/property/44-barkly-terrace-mitcham-vic-3132/36931008"
"15 DUDLEY STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","848","94","-","$1,285,000","10 Feb 2024","-","NOEL JONES - (BOX HILL & MITCHAM)","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","42/LP43227","Rented","https://rpp.corelogic.com.au/property/15-dudley-street-mitcham-vic-3132/11850235"
"8 FERRIS AVENUE ","MITCHAM","VIC","3132","House: Standard","2","1","1","641","111","1960","$1,197,000","10 Feb 2024","-","Docking Real Estate - Vermont","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","15/LP28425","Owner Occupied","https://rpp.corelogic.com.au/property/8-ferris-avenue-mitcham-vic-3132/11850798"
"2/21 IAN CRESCENT ","MITCHAM","VIC","3132","Unit","3","2","2","298","129","2015","$1,038,000","10 Feb 2024","-","Barry Plant - Blackburn","OYO Unit","Neighbourhood Residential Zone - Schedule 3","2/PS737703","Owner Occupied","https://rpp.corelogic.com.au/property/2-21-ian-crescent-mitcham-vic-3132/17465925"
"1/432-438 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit","1","-","1","238","40","1960","$0","09 Feb 2024","Nils And Wills","-","-","Commercial 1 Zone","1/RP16189","Owner Occupied","https://rpp.corelogic.com.au/property/1-432-438-mitcham-road-mitcham-vic-3132/12353508"
"1A/432-438 MITCHAM ROAD ","MITCHAM","VIC","3132","Other","-","-","-","39","-","1960","$0","09 Feb 2024","Nils And Wills","-","-","Commercial 1 Zone","2/RP16189","-","https://rpp.corelogic.com.au/property/1a-432-438-mitcham-road-mitcham-vic-3132/34401965"
"2/432-438 MITCHAM ROAD ","MITCHAM","VIC","3132","Commercial","-","-","-","88","-","1960","$0","09 Feb 2024","Nils And Wills","-","-","Commercial 1 Zone","3/RP16189","-","https://rpp.corelogic.com.au/property/2-432-438-mitcham-road-mitcham-vic-3132/11854665"
"3/432-438 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit","-","-","1","92","81","1960","$0","09 Feb 2024","Nils And Wills","-","-","Commercial 1 Zone","4/RP16189","Owner Occupied","https://rpp.corelogic.com.au/property/3-432-438-mitcham-road-mitcham-vic-3132/11854667"
"4/432-438 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit","-","-","1","54","81","1960","$0","09 Feb 2024","Nils And Wills","-","-","Commercial 1 Zone","5/RP16189","Owner Occupied","https://rpp.corelogic.com.au/property/4-432-438-mitcham-road-mitcham-vic-3132/11854669"
"5/432-438 MITCHAM ROAD ","MITCHAM","VIC","3132","Commercial: Retail Building","-","-","-","31","-","1960","$0","09 Feb 2024","Nils And Wills","-","-","Commercial 1 Zone","6/RP16189","-","https://rpp.corelogic.com.au/property/5-432-438-mitcham-road-mitcham-vic-3132/11854671"
"6/432-438 MITCHAM ROAD ","MITCHAM","VIC","3132","Commercial","-","-","-","37","-","1960","$0","09 Feb 2024","Nils And Wills","-","-","Commercial 1 Zone","7/RP16189","-","https://rpp.corelogic.com.au/property/6-432-438-mitcham-road-mitcham-vic-3132/11854673"
"8/432-438 MITCHAM ROAD ","MITCHAM","VIC","3132","Commercial","-","-","-","43","45","1960","$0","09 Feb 2024","Nils And Wills","-","-","Commercial 1 Zone","8/RP16189","-","https://rpp.corelogic.com.au/property/8-432-438-mitcham-road-mitcham-vic-3132/11854677"
"9/432-438 MITCHAM ROAD ","MITCHAM","VIC","3132","Other","-","-","-","47","-","1960","$0","09 Feb 2024","Nils And Wills","-","-","Commercial 1 Zone","9/RP16189","-","https://rpp.corelogic.com.au/property/9-432-438-mitcham-road-mitcham-vic-3132/11854679"
"6/11 CHURCH STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","809","74","2011","$550,000","07 Feb 2024","-","Woodards Blackburn","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","6/PS638440","Owner Occupied","https://rpp.corelogic.com.au/property/6-11-church-street-mitcham-vic-3132/16004788"
"LOT 6 HARRISON STREET ","MITCHAM","VIC","3132","House: Standard","3","-","-","276","-","1980","$956,000","07 Feb 2024","-","-","Detached Dwelling","Residential Growth Zone - Schedule 1","6/SP27516","Owner Occupied","https://rpp.corelogic.com.au/property/lot-6-harrison-street-mitcham-vic-3132/34387173"
"1/18 HARRISON STREET ","MITCHAM","VIC","3132","Unit","3","2","2","276","150","1980","$956,000","07 Feb 2024","-","Noel Jones Box Hill","Detached Dwelling","Residential Growth Zone - Schedule 1","1/SP27516","Owner Occupied","https://rpp.corelogic.com.au/property/1-18-harrison-street-mitcham-vic-3132/11851969"
"1/49 BURNETT STREET ","MITCHAM","VIC","3132","Unit: Standard","3","1","4","484","-","-","$880,000","03 Feb 2024","-","Noel Jones Whitehorse","Strata Unit or Flat  (Unspecified)","Neighbourhood Residential Zone - Schedule 1","1/PS740874","Owner Occupied","https://rpp.corelogic.com.au/property/1-49-burnett-street-mitcham-vic-3132/37379966"
"DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","2,804","-","1960","$620,000","03 Feb 2024","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","31/RP490","Owner Occupied","https://rpp.corelogic.com.au/property/doncaster-east-road-mitcham-vic-3132/35145136"
"15/55-57 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","1","1","77","75","1965","$620,000","03 Feb 2024","-","Jellis Craig Whitehorse","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","15/RP490","Rented","https://rpp.corelogic.com.au/property/15-55-57-doncaster-east-road-mitcham-vic-3132/11850040"
"4 FAWCETT STREET ","MITCHAM","VIC","3132","House: Standard","3","1","1","641","124","-","$1,080,000","03 Feb 2024","-","Barry Plant Heathmont & Ringwood","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","4/LP28281","Owner Occupied","https://rpp.corelogic.com.au/property/4-fawcett-street-mitcham-vic-3132/11850637"
"1/20 FERGUSON STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","2","411","144","-","$770,000","03 Feb 2024","-","Barry Plant Eastern Group","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","1/SP29188","Owner Occupied","https://rpp.corelogic.com.au/property/1-20-ferguson-street-mitcham-vic-3132/11850770"
"26 KULNINE AVENUE ","MITCHAM","VIC","3132","House: Standard","3","1","1","711","118","-","$1,020,000","03 Feb 2024","-","Fletchers Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","49/LP11819","Owner Occupied","https://rpp.corelogic.com.au/property/26-kulnine-avenue-mitcham-vic-3132/11853057"
"PERCY STREET ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","646","-","-","$732,500","03 Feb 2024","-","-","OYO Unit","General Residential Zone - Schedule 2","5/RP10619","Owner Occupied","https://rpp.corelogic.com.au/property/percy-street-mitcham-vic-3132/34382956"
"2/23 PERCY STREET ","MITCHAM","VIC","3132","Unit","2","1","1","135","78","1976","$732,500","03 Feb 2024","-","Jellis Craig Whitehorse","OYO Unit","General Residential Zone - Schedule 2","2/RP10619","Owner Occupied","https://rpp.corelogic.com.au/property/2-23-percy-street-mitcham-vic-3132/11856647"
"RUPERT STREET ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","148","-","1980","$690,000","03 Feb 2024","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","6/RP10506","Owner Occupied","https://rpp.corelogic.com.au/property/rupert-street-mitcham-vic-3132/35447812"
"2/2 RUPERT STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","148","81","1978","$690,000","03 Feb 2024","-","Barry Plant - Blackburn","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","2/RP10506","Owner Occupied","https://rpp.corelogic.com.au/property/2-2-rupert-street-mitcham-vic-3132/11858115"
"21 SALVANA AVENUE ","MITCHAM","VIC","3132","House","3","-","-","605","-","-","$0","02 Feb 2024","Nils And Wills","-","-","General Residential Zone - Schedule 1","42/LP64367","Owner Occupied","https://rpp.corelogic.com.au/property/21-salvana-avenue-mitcham-vic-3132/11858291"
"28 CULWELL AVENUE ","MITCHAM","VIC","3132","House: Standard","2","1","1","260","82","1977","$723,000","31 Jan 2024","-","Barry Plant - Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/SP25918","Owner Occupied","https://rpp.corelogic.com.au/property/28-culwell-avenue-mitcham-vic-3132/11849294"
"54 PURCHES STREET ","MITCHAM","VIC","3132","House","4","3","2","856","237","1980","$0","31 Jan 2024","Nils And Wills","Barry Plant Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","3/LP50617","Owner Occupied","https://rpp.corelogic.com.au/property/54-purches-street-mitcham-vic-3132/11857069"
"8/8 HARRISON STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","191","154","2004","$0","25 Jan 2024","Nils And Wills","-","Townhouse","Residential Growth Zone - Schedule 1","8/PS432939","Owner Occupied","https://rpp.corelogic.com.au/property/8-8-harrison-street-mitcham-vic-3132/11851897"
"11/2 CHIPPEWA AVENUE ","MITCHAM","VIC","3132","Unit","2","1","1","147","96","1980","$655,000","24 Jan 2024","-","Barry Plant - Blackburn","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","LOTS 11 & 27 SP25052","Owner Occupied","https://rpp.corelogic.com.au/property/11-2-chippewa-avenue-mitcham-vic-3132/16104699"
"619 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Business: Retail Trade","-","-","-","946","-","-","$4,400,000","23 Jan 2024","-","CVA Property Consultants Pty Ltd","Retail Store/Showroom","Commercial 2 Zone","2/PS734906","-","https://rpp.corelogic.com.au/property/619-whitehorse-road-mitcham-vic-3132/17849574"
"3/10 DAVISON STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","210","156","2014","$1,000,000","21 Jan 2024","-","Harcourts Manningham","OYO Unit","Neighbourhood Residential Zone - Schedule 3","4/PS721719","Owner Occupied","https://rpp.corelogic.com.au/property/3-10-davison-street-mitcham-vic-3132/17060349"
"4 SIMPSON STREET ","MITCHAM","VIC","3132","House: Standard","3","4","2","601","347","1950","$2,600,000","19 Jan 2024","-","Marshall White Balwyn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/LP56352","Owner Occupied","https://rpp.corelogic.com.au/property/4-simpson-street-mitcham-vic-3132/11858560"
"430B/1 COLOMBO STREET ","MITCHAM","VIC","3132","Unit","2","1","1","3,890","61","2012","$421,000","08 Jan 2024","-","Ray White Wantirna","OYO Subdivided Flat","Mixed Use Zone","420B/PS632398","Rented","https://rpp.corelogic.com.au/property/430b-1-colombo-street-mitcham-vic-3132/16143950"
"55 FULLER STREET ","MITCHAM","VIC","3132","House","3","1","2","1,309","110","1960","$0","05 Jan 2024","Nils And Wills","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","296/LP8809","Owner Occupied","https://rpp.corelogic.com.au/property/55-fuller-street-mitcham-vic-3132/11851022"
"DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","2,804","-","1960","$500,000","29 Dec 2023","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","32/RP490","Owner Occupied","https://rpp.corelogic.com.au/property/doncaster-east-road-mitcham-vic-3132/34976629"
"16/55-57 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","75","79","1960","$500,000","29 Dec 2023","-","Fletchers Blackburn","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","16/RP490","Rented","https://rpp.corelogic.com.au/property/16-55-57-doncaster-east-road-mitcham-vic-3132/11850042"
"1/22 ORIENT AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","364","135","2005","$1,070,000","27 Dec 2023","-","Noel Jones Box Hill","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 1","1/PS513762","Owner Occupied","https://rpp.corelogic.com.au/property/1-22-orient-avenue-mitcham-vic-3132/11855802"
"1A MAY COURT ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","3","2","235","156","2015","$0","23 Dec 2023","Nils And Wills","Harcourts Wantirna","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/PS723197","Owner Occupied","https://rpp.corelogic.com.au/property/1a-may-court-mitcham-vic-3132/17837276"
"126B/1 COLOMBO STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","1","3,890","60","2012","$380,000","22 Dec 2023","-","Barry Plant Eastern Group","OYO Subdivided Flat","Mixed Use Zone","116B/PS632398","Rented","https://rpp.corelogic.com.au/property/126b-1-colombo-street-mitcham-vic-3132/16172924"
"11 WALTER STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","828","124","-","$1,180,000","22 Dec 2023","-","Fletchers Manningham","Detached Dwelling","General Residential Zone - Schedule 2","31/LP7515","Rented","https://rpp.corelogic.com.au/property/11-walter-street-mitcham-vic-3132/11859995"
"25 BURNETT STREET ","MITCHAM","VIC","3132","House","4","2","2","693","193.49","1928","$1,570,000","21 Dec 2023","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","1/TP441515","Rented","https://rpp.corelogic.com.au/property/25-burnett-street-mitcham-vic-3132/11847488"
"8 BUXTON ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","366","82","1977","$869,000","20 Dec 2023","-","Eview Group - Eview Group","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","2/SP22508","Owner Occupied","https://rpp.corelogic.com.au/property/8-buxton-road-mitcham-vic-3132/36069434"
"21/520 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","4","2","2","219","159","2018","$1,100,000","19 Dec 2023","-","First National Real Estate Waverley City","OYO Unit","Neighbourhood Residential Zone - Schedule 3","21/PS744064","Owner Occupied","https://rpp.corelogic.com.au/property/21-520-mitcham-road-mitcham-vic-3132/17871275"
"393 MITCHAM ROAD ","MITCHAM","VIC","3132","House","3","2","2","363","185","1950","$980,000","18 Dec 2023","-","NOEL JONES - (BOX HILL & MITCHAM)","Detached Dwelling","General Residential Zone - Schedule 2","393/PS523371","Rented","https://rpp.corelogic.com.au/property/393-mitcham-road-mitcham-vic-3132/11854615"
"2/11 WALKER AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","2","191","93","2001","$766,000","18 Dec 2023","-","NOEL JONES MITCHAM","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","2/PS436751","Owner Occupied","https://rpp.corelogic.com.au/property/2-11-walker-avenue-mitcham-vic-3132/11859915"
"20A CARWEEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","553","117","-","$990,000","16 Dec 2023","-","Jellis Craig Doncaster","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","2/SP36170","Owner Occupied","https://rpp.corelogic.com.au/property/20a-carween-avenue-mitcham-vic-3132/11847730"
"106 HEATHERDALE ROAD ","MITCHAM","VIC","3132","House","4","2","1","697","211","1990","$1,100,000","16 Dec 2023","-","Noel Jones Wantirna","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/LP40270","Owner Occupied","https://rpp.corelogic.com.au/property/106-heatherdale-road-mitcham-vic-3132/11852281"
"ORIENT AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","659","-","1975","$580,000","16 Dec 2023","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","7/SP36179","Owner Occupied","https://rpp.corelogic.com.au/property/orient-avenue-mitcham-vic-3132/34388589"
"2/41 ORIENT AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","75","66","1970","$580,000","16 Dec 2023","-","Biggin & Scott - Mitcham","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","2/SP36179","Rented","https://rpp.corelogic.com.au/property/2-41-orient-avenue-mitcham-vic-3132/11855871"
"5/39 PERCY STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","101","85","1970","$0","16 Dec 2023","Nils And Wills","CHN Real Estate Group","Strata Unit or Flat  (Unspecified)","General Residential Zone - Schedule 2","5/RP2432","Rented","https://rpp.corelogic.com.au/property/5-39-percy-street-mitcham-vic-3132/11856689"
"86 PURCHES STREET ","MITCHAM","VIC","3132","House","3","2","2","585","117","1980","$1,020,000","16 Dec 2023","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","36/LP44495","Rented","https://rpp.corelogic.com.au/property/86-purches-street-mitcham-vic-3132/11857125"
"51A GLENBURNIE ROAD ","MITCHAM","VIC","3132","House","5","2","5","1,408","270","1990","$2,100,000","15 Dec 2023","-","NOEL JONES - (BOX HILL & MITCHAM)","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","2/LP147733","Owner Occupied","https://rpp.corelogic.com.au/property/51a-glenburnie-road-mitcham-vic-3132/11851400"
"2/9 DENMAN STREET ","MITCHAM","VIC","3132","Unit","2","2","2","371","160","2005","$0","14 Dec 2023","Nils And Wills","FOSTER & CO ESTATE AGENTS PTY. LTD.","Townhouse","Neighbourhood Residential Zone - Schedule 3","2/PS526162","Owner Occupied","https://rpp.corelogic.com.au/property/2-9-denman-street-mitcham-vic-3132/11849803"
"LOT 14 MITCHAM ROAD ","MITCHAM","VIC","3132","House: Standard","3","-","-","2,138","94","1985","$840,000","14 Dec 2023","-","-","Detached Dwelling","General Residential Zone - Schedule 2","14/RP9345","Owner Occupied","https://rpp.corelogic.com.au/property/lot-14-mitcham-road-mitcham-vic-3132/34377882"
"7/490 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","2","4","181","119","1985","$840,000","14 Dec 2023","-","Ray White Burwood","Detached Dwelling","General Residential Zone - Schedule 2","7/RP9345","Owner Occupied","https://rpp.corelogic.com.au/property/7-490-mitcham-road-mitcham-vic-3132/11854902"
"13 DEEP CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","4","3","-","420","232","2024","$1,400,000","13 Dec 2023","-","Noel Jones - Mitcham","Strata Unit or Flat  (Unspecified)","Neighbourhood Residential Zone - Schedule 3","LOTS 1-2 & CM1 PS848221","Owner Occupied","https://rpp.corelogic.com.au/property/13-deep-creek-road-mitcham-vic-3132/11849604"
"2/13 DEEP CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","4","3","2","368","218","2022","$1,400,000","13 Dec 2023","-","Jellis Craig Whitehorse","Strata Unit or Flat  (Unspecified)","-","2/PS848221","Owner Occupied","https://rpp.corelogic.com.au/property/2-13-deep-creek-road-mitcham-vic-3132/49634096"
"20/21 COOK ROAD ","MITCHAM","VIC","3132","Business: Wholesale Trade","-","-","-","201","-","-","$1,094,500","12 Dec 2023","-","-","General Purpose Warehouse","Industrial 3 Zone","20/PS747260","-","https://rpp.corelogic.com.au/property/20-21-cook-road-mitcham-vic-3132/37515181"
"21/21 COOK ROAD ","MITCHAM","VIC","3132","Business: Wholesale Trade","-","-","-","172","-","-","$990,000","12 Dec 2023","-","-","General Purpose Warehouse","Industrial 3 Zone","21/PS747260","-","https://rpp.corelogic.com.au/property/21-21-cook-road-mitcham-vic-3132/37515300"
"2/10 GARDEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","279","100","1990","$738,000","11 Dec 2023","-","Jellis Craig Whitehorse","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","2/SP30255","Owner Occupied","https://rpp.corelogic.com.au/property/2-10-garden-avenue-mitcham-vic-3132/14589864"
"5/42 GLENBURNIE ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","-","-","401","-","-","$1,220,999","11 Dec 2023","-","-","Single Strata Unit/Villa Unit/Townhouse","-","5/PS835286","Owner Occupied","https://rpp.corelogic.com.au/property/5-42-glenburnie-road-mitcham-vic-3132/51670485"
"2/7 COMPTON STREET ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","199","100","-","$723,000","09 Dec 2023","-","Jellis Craig Whitehorse","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","2/PS325457","Rented","https://rpp.corelogic.com.au/property/2-7-compton-street-mitcham-vic-3132/11848717"
"1/24 FORSTER STREET ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","246","167.73","2007","$940,000","09 Dec 2023","-","NOEL JONES MITCHAM","Strata Unit or Flat  (Unspecified)","General Residential Zone - Schedule 2","1/PS725850","Rented","https://rpp.corelogic.com.au/property/1-24-forster-street-mitcham-vic-3132/17378017"
"5/12 IRVINE STREET ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","214","98","2012","$820,000","09 Dec 2023","-","Jellis Craig Monash","OYO Subdivided Dwelling","General Residential Zone - Schedule 2","5/PS645199","Owner Occupied","https://rpp.corelogic.com.au/property/5-12-irvine-street-mitcham-vic-3132/16209771"
"PERCY STREET ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","662","-","1970","$670,000","09 Dec 2023","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","5/RP3316","Owner Occupied","https://rpp.corelogic.com.au/property/percy-street-mitcham-vic-3132/36911805"
"2/17 PERCY STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","84","76","1976","$670,000","09 Dec 2023","-","Jellis Craig Whitehorse","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","2/RP3316","Rented","https://rpp.corelogic.com.au/property/2-17-percy-street-mitcham-vic-3132/11856623"
"6 SHIRLEY COURT ","MITCHAM","VIC","3132","House: Standard","3","1","2","558","124","-","$1,210,000","09 Dec 2023","-","Ascend Real Estate","Detached Dwelling","General Residential Zone - Schedule 1","CP104811","Owner Occupied","https://rpp.corelogic.com.au/property/6-shirley-court-mitcham-vic-3132/11858491"
